نام سد,شهرستان,طول (Longitude),عرض (Latitude),تقریبی؟
دوستی,سرخس,61.163330,35.948610,خیر
چهچهه,کلات,60.261200,36.602200,خیر
زاوین کلات,کلات,59.890700,36.727600,خیر
کارده,مشهد,59.664444,36.623056,خیر
تبارک‌آباد,قوچان,58.709303,37.173079,خیر
چالیدره,طرقبه شاندیز,59.353394,36.320561,خیر
طرق,مشهد,59.552400,36.175700,خیر
فریمان,فریمان,59.834776,35.613061,خیر
سده خواف,خواف,59.958333,34.845278,خیر
نهرین,طبس,57.132823,33.656636,خیر
قره‌تیکان,کلات,60.192500,36.816670,بله
ارداک چناران,چناران,59.400000,36.766700,بله
ابیورد,درگز,59.204210,37.348470,بله
درونگر,درگز,58.544300,37.440000,بله
گلول,,58.076100,37.757500,بله
چری,فروج,58.237500,37.244908,بله
کمایستان,جوین,57.338061,36.683611,بله
یام,سبزوار,57.331110,36.554720,بله
بار,فیروزه,58.716670,36.491940,بله
دولت‌آباد,چناران,59.166940,36.437500,بله
سنگرد,ششتمد,58.082685,35.751754,بله
شهید یعقوبی,تربت حیدریه,59.429700,35.102000,بله
دهقان تایباد,تایباد,60.780000,34.964580,بله
پارسا,سرایان,58.536100,33.968800,بله
